Year,Month,EFPG_code,Number_stores,Price_index_GEKS,Purchase_dollars_unwtd,Purchase_dollars_wtd,Purchase_grams_unwtd,Purchase_grams_wtd,Unit_value_mean_unwtd,Unit_value_mean_wtd,Unit_value_se_wtd
2012,2,53000,2769.666667,0.908307448,26547258.47,36335695.57,1787560617,2524768813,1.442961257,1.429387428,0.021588956
2012,2,53050,3447.866667,0.960685281,21000884.2,31083076.8,1756061392,2570578845,1.232841425,1.242637658,0.018831064
2012,2,53075,7379.866667,0.94920845,18566132.17,28587963.55,2163469091,3337514398,0.862459323,0.85717633,0.009072939
2012,2,54500,8444.666667,0.902807361,35830167.18,58273829.16,2901340833,4683687917,1.247823732,1.244801242,0.011778728
2012,2,54550,7565.066667,1.099737149,15317858.39,22742060.18,2476738571,3654075085,0.620523689,0.620949506,0.005151382
2012,2,56000,8434.666667,0.966378919,191011892.5,294506783.3,20173387706,31707293879,0.984404176,0.988223945,0.012647134
2012,2,57500,7589.933333,0.963465974,34761677.62,52201871.58,12102764417,18264014914,0.292087258,0.290489746,0.002968314
2012,2,59000,4293.933333,0.994171261,5298864.035,7314887.135,436066187.7,603709369.5,1.218799194,1.208575815,0.011462402
2012,2,60000,8173.4,0.987826885,92266580.06,139139403.9,8226538983,12634579728,1.120242866,1.104624624,0.00816737
2012,2,62500,8063.133333,0.985967022,265722243.5,406722795.4,36878863731,56311056931,0.733862421,0.734478456,0.004561399
2012,2,65000,8185.666667,0.978194463,66857988.21,103873324.1,19438076477,30021590885,0.347368613,0.346625269,0.002026498
2012,2,67500,8167.333333,1.010203575,41119325.52,63334544.14,28410593234,42306419000,0.143881699,0.145228887,0.003182321
2012,2,70000,7672.2,0.984815674,49063327.8,77716578.88,10826237073,17326959874,0.460057997,0.451277458,0.008195878
2012,2,70050,7523.666667,1.043696726,32604237.35,50904237,6334999396,9842701842,0.519934865,0.5201471,0.00471194
2012,2,71000,8392,0.972322334,80712040.16,127407995.4,20963165333,32707706402,0.388537493,0.390272652,0.00372107
2012,2,71050,7544.266667,0.923235294,25616965.65,40991046.83,1862559256,2904952439,1.383889459,1.410038618,0.030291936
2012,2,72000,8446.4,1.000561774,27431611.74,57772574.56,27275548091,49392439735,0.100193941,0.116986132,0.001824967
2012,2,72010,7983.4,1.117228841,78028597.69,119056979.6,5696220317,9172062256,1.505363055,1.475584159,0.023289663
2012,2,72020,8368.133333,0.997667013,30681687.44,50688718.39,11178374862,18100162467,0.274729004,0.28360277,0.00213011
2012,2,72030,8450.466667,0.98318519,86348313.44,176267343.4,89914594585,1.55466E+11,0.095807567,0.112817937,0.001388517
2012,2,72040,8450.266667,0.987167722,205898593.8,485008912.2,1.90706E+11,3.74104E+11,0.108607656,0.13006829,0.001499162
2012,2,72050,6441.733333,0.972960202,223229472.9,539627686.8,57943261277,1.67415E+11,0.38651948,0.34104356,0.004939291
2012,2,72060,8448.8,1.008163189,44707155.23,83204256.71,1.09086E+11,1.77264E+11,0.040751899,0.046038696,0.000748494
2012,2,73000,7922.8,1.049687965,35858102.42,56895549.89,10014133194,16558585734,0.366144483,0.351906382,0.007865946
2012,2,73010,7298,1.007771922,7719518.035,11937203.38,1565313735,2417267137,0.499144564,0.494016372,0.007549314
